STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
34189-100;34060PH003_U-0;;;019597;;;5
34191-100;4140CP2010-0;1240CP2001-U-3;;S26/040-293;Kalacak;;
69019-100;A5E36396988-0;;;7503271/G;Kalacak;;
69019-200;70000004022458-0;;;7503271/G;;;
34185-100;25180PSB01_AN15-3;;;017135;;;
00416-100;91780932-0;;;91780932-C;Kalacak;;
00738-100;L225045LX2-0;;;L225045;Kalacak;;
34183-100;25160PNC01_U-3;;;017126;;;
00412-200;48151441-0;;;48151441;Kalacak;;
34175-100;4340P58010-0;;;131884;;;5
34178-100;25020PSB01_AN15-3;;;017150;;;
34604-100;4330PAN010-0;;;015523-02;;2;
34605-100;4330PBN010-0;;;015535-01;;2;
34174-100;4340P4EN10-0;;;S53/040-EN1;;;5
34601-100;4330PAS910-0;;;017350-01;;2;
40503-200;2044401-0;;;2027731;;2;
40042-200;082A-WI-0;;;;;2;
34181-100;25160PNA01_U-3;;;017119;;;
00540-200;84071388-0;;;84439587 C;Kalacak;;
00438-200;87585077-0;87585077-3;;;Kalacak;;
34173-100;25400P0020-0;25400P0020_U-3;;S53/040-814;;;5
34574-100;4Z01P0A010-0;;;018600;Kalacak;;
69010-200;7000647346-0;;;368788/D/001;Kalacak;;
34171-100;25400P0801-0;S53/040-1379;;S53/040-1379;;;5
34548-100;4G30P0A010-0;;;017929;Kalacak;;
01255-100;352218-0;;;394.090-02.001.10-01 | 02;Kalacak;;
00604-200;0412 2877-2;;;;;;
53004-100;0221 229.0-0;;;0221 229.0;;2;
01243-100;351385-0;;;404.101-13.002.10-01 I 04;Kalacak;;
34186-100;25180PSC01_U-3;;;017137;;;
00536-200;92297708-0;;;92297708-A;Kalacak;;
40821-100;45726-0;;;1014-886;;2;
34172-100;4340P49010-0;25400P0901_U-3;S53/040-1421;S53/040-1421;;;5
34558-200;1920000301_BSP-g-0;;;018713-05;Kalacak;;
34179-100;25020PSC01_AN30-3;;;017151;;;
01041-100;1704 307.1-0;;;221414.1;Kalacak;;
34184-100;25180PSA01_U-3;;;017130;;;
00414-100;51453008-0;;;48172040A;;2;
34163-200;2940000001-0;;;RAM/040-20;Kalacak;;
34182-100;25160PNB01_U-3;;;017125;;;
00545-200;84385409-0;;;;Kalacak;;
34187-100;25240PSA01_U-3;;;017164;;;
00642-100;51605620-0;;;51605620;Kalacak;;
34180-100;25020PSA01_U-3;;;017148;;;
01100-100;0191 066.5-0;;;0191 066.5;;2;
40327-200;2123041-0;;;2123041-02;Kalacak;;
34335-100;4R40P48010-0;;;009943;Kalacak;;
34123-100;25300P0315-0;25300P0315-U-3;;S56/030-267;;2;
01014-100;07760931-0;;;207999.0;Kalacak;;
20313-200;0429 7356-0;0429 8197-3;;0429 7356;Kalacak;;
69004-200;70000004041573-0;;;7507193/B/001;Kalacak;;
69005-200;70000004041576-0;;;7507196/C/001;Kalacak;;
40753-200;15830-0;;;1001-687-B;Kalacak;;
00805-200;388983-0;388983-3;;AG407831/388982;Kalacak;;
34380-100;4T15P40010-0;24154P0301_BSP-3;;005415-4T15P40010-04;Kalacak;;
36117-200;0101010459-0;;;0101010459;Kalacak;;
37186-200;37186-200;;;;;;5
40792-200;41709-0;;;1011-512-A;;;5
40818-100;45310-0;;;1014-582;;2;
34113-200;2930000001-0;;;RAM/030-5;Kalacak;;
34592-200;4R30000010-0;;;022729-01/4R30000010;Kalacak;;
36123-200;0101150180-0;;;0101150180;Kalacak;;
00723-100;L211240LX2-0;;;L211240;Kalacak;;
01027-200;210636.3-0;;;210636.3;Kalacak;;
71531-200;70000004041794-0;;;7507359_B/4041794.00;Kalacak;;
36086-100;0103150080-0;;;0103150080;Kalacak;;
36001-100;0103070535-0;;;0103070535;;2;
00660-200;R329574LX2-0;;;R329574;;;5
36099-100;0103150087-0;;;0103150087;Kalacak;;
01035-200;221324.1-0;;;221324.1;Kalacak;;
00411-200;51599862-0;;;51599862 B;Kalacak;;
00410-200;51599856-0;;;51599856 B;Kalacak;;
30103-100;700611772-0;;;43.04.10 K;;;5
00541-200;84579304-0;84579307-3;;8457934;Kalacak;;
00423-200;47124320-0;47124320-3;;47124320.9;Kalacak;;
57004-200;0.032.8589.0-0;;;0.032.8589.0;Kalacak;;
34400-100;85800P0102_U-0;;;009001;;2;
34549-100;82300P0202_U-0;;;017940;Kalacak;;
36073-100;0103010061-0;;;0103010061;Kalacak;;
34419-100;26443PDC01_VIC-BSP-0;;;015294;;;5
37304-200;117393-0;;;117393-G;Kalacak;;
00815-100;12928-0;147175-3;;12928;Kalacak;;
40015-200;2036987-0;;;;;;
01089-100;191733.1-0;;;191733.1;;2;
36012-100;0103070532-0;;;0103070532;Kalacak;;
36000-100;0103070529-0;;;0103070529;Kalacak;;
40724-200;23343-0; ;;1006-079-B;Kalacak;;
40785-200;28901-0;;;1009-539;;2;
00447-100;47698528.B-0;;;87656922;Kalacak;;
34522-100;85800P0202_U-0;;;4Z80P02020;Kalacak;;
44010-100;350-2306-0;;;350-2306-a;Kalacak;;
36100-100;0103150460-0;;;0103150460;Kalacak;;
30669-100;88341155-0;;;5-105-90-080-8-800;Kalacak;;
36060-100;0103020108-0;;;0103020108;Kalacak;;
36070-100;0103020135-0;;;0103020135;Kalacak;;
34407-100;4T30VPV801-0;;;012821;;;5
70009-200;70000004022456-0;4022523-3;;7503269/H/001;Kalacak;;
70017-200;70000004022453-1;;;7503266/G/001;Kalacak;;
30677-100;88341158-0;;;5-105-90-150-8-800;Kalacak;;
30672-100;88341156-0;;;5-105-90-100-8-800;;2;
30675-100;88341157-0;;;5-105-90-125-8-800;;2;
34597-100;4R80P48010-0;;;016886-5;Kalacak;;
40074-200;2118332-0;;;2118332-03;Kalacak;;
36124-200;0101150181-0;;;0101150181;Kalacak;;
48078-200;48078-200;;;;Kalacak;;
00558-100;948129-0;;948129;948129/73259;Kalacak;;
00887-100;ACW 218127 B-0;;;ACW218127A/1.8;Kalacak;;
01051-200;221432.0-0;;;221432.0;Kalacak;;
01003-100;2623009.0-0;;;2623009.0;Kalacak;;
34388-100;4380PAS010-0;;;008865;Kalacak;;
34389-100;4380PBS010-0;;;008882;Kalacak;;
34390-100;4380PCS010-0;;;008879;;;5
36110-200;0101010540-0;;;0101010540;;2;
36111-200;0101040265-0;;;0101040265;Kalacak;;
