STOK KODU;BUFFER;DEPO;PASİF
34189-100;;;5
34191-100;Kalacak;;
69019-100;Kalacak;;
69019-200;;;
34185-100;;;
00416-100;Kalacak;;
00738-100;Kalacak;;
34183-100;;;
00412-200;Kalacak;;
34175-100;;;5
34178-100;;;
34604-100;;2;
34605-100;;2;
34174-100;;;5
34601-100;;2;
40503-200;;2;
40042-200;;2;
34181-100;;;
00540-200;Kalacak;;
00438-200;Kalacak;;
34173-100;;;5
34574-100;Kalacak;;
69010-200;Kalacak;;
34171-100;;;5
34548-100;Kalacak;;
01255-100;Kalacak;;
00604-200;;;
53004-100;;2;
01243-100;Kalacak;;
34186-100;;;
00536-200;Kalacak;;
40821-100;;2;
34172-100;;;5
34558-200;Kalacak;;
34179-100;;;
01041-100;Kalacak;;
34184-100;;;
00414-100;;2;
34163-200;Kalacak;;
34182-100;;;
00545-200;Kalacak;;
34187-100;;;
00642-100;Kalacak;;
34180-100;;;
01100-100;;2;
40327-200;Kalacak;;
34335-100;Kalacak;;
34123-100;;2;
01014-100;Kalacak;;
20313-200;Kalacak;;
69004-200;Kalacak;;
69005-200;Kalacak;;
40753-200;Kalacak;;
00805-200;Kalacak;;
34380-100;Kalacak;;
36117-200;Kalacak;;
37186-200;;;5
40792-200;;;5
40818-100;;2;
34113-200;Kalacak;;
34592-200;Kalacak;;
36123-200;Kalacak;;
00723-100;Kalacak;;
01027-200;Kalacak;;
71531-200;Kalacak;;
36086-100;Kalacak;;
36001-100;;2;
00660-200;;;5
36099-100;Kalacak;;
01035-200;Kalacak;;
00411-200;Kalacak;;
00410-200;Kalacak;;
30103-100;;;5
00541-200;Kalacak;;
00423-200;Kalacak;;
57004-200;Kalacak;;
34400-100;;2;
34549-100;Kalacak;;
36073-100;Kalacak;;
34419-100;;;5
37304-200;Kalacak;;
00815-100;Kalacak;;
40015-200;;;
01089-100;;2;
36012-100;Kalacak;;
36000-100;Kalacak;;
40724-200;Kalacak;;
40785-200;;2;
00447-100;Kalacak;;
34522-100;Kalacak;;
44010-100;Kalacak;;
36100-100;Kalacak;;
30669-100;Kalacak;;
36060-100;Kalacak;;
36070-100;Kalacak;;
34407-100;;;5
70009-200;Kalacak;;
70017-200;Kalacak;;
30677-100;Kalacak;;
30672-100;;2;
30675-100;;2;
34597-100;Kalacak;;
40074-200;Kalacak;;
36124-200;Kalacak;;
48078-200;Kalacak;;
00558-100;Kalacak;;
00887-100;Kalacak;;
01051-200;Kalacak;;
01003-100;Kalacak;;
34388-100;Kalacak;;
34389-100;Kalacak;;
34390-100;;;5
36110-200;;2;
36111-200;Kalacak;;
34351-100;Kalacak;;
34397-100;Kalacak;;
34398-100;;2;
34399-100;;2;
00765-200;Kalacak;;
34600-100;Kalacak;;
36056-100;Kalacak;;
36054-100;Kalacak;;
36052-200;Kalacak;;
36055-100;Kalacak;;
43000-200;Kalacak;;
40522-200;Kalacak;;
37310-200;Kalacak;;
34489-100;Kalacak;;
34501-100;Kalacak;;
34408-100;Kalacak;;
34409-100;;;5
34410-100;;2;
43020-200;Kalacak;;
40524-200;Kalacak;;
01232-100;Kalacak;;
36071-100;Kalacak;;
45032-100;Kalacak;;
36092-100;Kalacak;;
36066-100;Kalacak;;
36090-100;Kalacak;;
36063-100;Kalacak;;
36095-100;Kalacak;;
00690-200;;;5
30407-100;Kalacak;;
40828-200;;2;
36094-100;Kalacak;;
34579-200;;2;
01235-100;Kalacak;;
00693-100;Kalacak;;
36121-100;Kalacak;;
01004-100;Kalacak;;
00617-100;;2;
41073-200;;2;
01233-100;Kalacak;;
01088-100;;2;
20355-200;Kalacak;;
36009-100;Kalacak;;
01230-100;Kalacak;;
36088-100;Kalacak;;
01231-100;Kalacak;;
36125-200;Kalacak;;
01227-100;Kalacak;;
00672-200;Kalacak;;
00661-200;;;5
00737-200;;2;
40528-200;Kalacak;;
30460-100;Kalacak;;
30459-100;;2;
30166-100;;;5
30167-100;;;
30172-100;;;5
30173-100;;;5
30198-100;;;5
30207-100;;;5
30208-100;;;5
30211-100;;;5
30216-100;;;5
30224-100;;;
30231-100;;;5
30237-100;;;5
30238-100;;;5
30242-100;;;5
30245-100;;;5
30250-100;;;5
30251-100;;;
30252-100;;;5
30270-100;;;5
30273-100;;;
30290-100;;;5
30295-100;;;5
30343-100;;;
20501-100;;;5
57005-100;Kalacak;;
57006-100;;2;
57007-100;Kalacak;;
57009-200;Kalacak;;
57010-200;Kalacak;;
57011-200;Kalacak;;
57012-200;Kalacak;;
57014-100;Kalacak;;
57015-200;Kalacak;;
57016-200;Kalacak;;
57017-200;Kalacak;;
57018-200;Kalacak;;
57019-200;Kalacak;;
57020-200;Kalacak;;
57021-200;Kalacak;;
57022-200;Kalacak;;
57023-200;Kalacak;;
57024-200;Kalacak;;
57025-200;Kalacak;;
57026-200;Kalacak;;
57027-200;Kalacak;;
57028-200;Kalacak;;
57029-200;Kalacak;;
57030-200;Kalacak;;
57031-200;Kalacak;;
57032-200;Kalacak;;
41001-200;;;5
41002-200;;;5
41006-200;;;5
41007-200;;;5
41011-200;;;
41012-200;;;
41017-200;;;
41019-200;;;
41021-200;;;5
41022-200;;;5
41023-200;;;
41024-200;;;5
41025-200;;;5
41031-200;;;
41038-200;;;
41042-200;;;5
41043-200;;;
41046-200;;;5
41049-200;;;5
41052-200;;;5
41060-200;;;5
41071-200;;;5
41072-200;;;
41080-200;;;5
41083-200;;;5
41085-200;;;5
41086-200;;;5
41088-200;;;
41094-200;;;5
41101-200;;;
41106-200;;;5
41111-200;;;
41114-200;;;5
41126-200;;;5
41136-200;;;5
41137-200;;;5
41148-200;;;
41149-200;;;5
41153-200;;;5
41154-200;;;
41155-200;;;5
41160-200;;;5
41161-200;;;5
41163-200;;;5
41171-200;;;5
41173-200;;;5
41175-200;;;
41178-200;;;5
41180-200;;;5
41181-200;;;5
41185-200;;;
41186-200;;;
41188-200;;;
41189-200;;;
41194-200;;;5
41197-200;;;
41200-200;;;
41204-200;;;5
41217-200;;;5
41221-200;;;
41222-200;;;
41223-200;;;5
41225-200;;;5
41226-200;;;5
41232-200;;;5
41233-200;;;5
41234-200;;;
41239-200;;;
36002-100;Kalacak;;
36003-100;Kalacak;;
36004-100;Kalacak;;
36005-100;Kalacak;;
36006-100;Kalacak;;
36007-100;Kalacak;;
36008-100;Kalacak;;
36010-100;Kalacak;;
36011-100;Kalacak;;
36013-100;Kalacak;;
36014-100;Kalacak;;
36015-100;Kalacak;;
36016-100;Kalacak;;
36017-100;Kalacak;;
36018-100;Kalacak;;
36019-100;Kalacak;;
36020-100;Kalacak;;
36021-100;Kalacak;;
36022-100;;2;
36023-100;Kalacak;;
36024-100;;2;
36025-100;;2;
36026-100;;2;
36027-100;;2;
36028-100;;2;
36029-100;;2;
36030-100;;2;
36031-100;;2;
36032-100;;2;
36033-100;;2;
36034-100;;2;
36035-100;;2;
36036-100;;2;
36037-100;;2;
36038-100;;2;
36039-100;;2;
36040-100;;2;
36041-100;;2;
36042-100;;2;
36043-100;Kalacak;;
36044-100;Kalacak;;
36045-100;;2;
36046-100;Kalacak;;
36047-100;Kalacak;;
36057-100;Kalacak;;
36058-100;Kalacak;;
00413-100;;2;
36061-100;Kalacak;;
36062-100;Kalacak;;
36064-100;Kalacak;;
36065-100;Kalacak;;
36067-100;Kalacak;;
36068-100;Kalacak;;
36069-100;Kalacak;;
36074-100;Kalacak;;
36075-100;Kalacak;;
36076-100;Kalacak;;
36077-100;;2;
36078-100;Kalacak;;
36079-100;Kalacak;;
36080-100;Kalacak;;
36081-100;Kalacak;;
36082-100;Kalacak;;
36083-100;Kalacak;;
36084-100;;2;
36085-100;Kalacak;;
36087-100;Kalacak;;
36089-100;;2;
36096-100;Kalacak;;
36097-100;Kalacak;;
36098-100;Kalacak;;
36101-100;Kalacak;;
36104-100;;2;
36105-100;;2;
36106-100;Kalacak;;
36107-100;;2;
36108-100;Kalacak;;
36109-100;;2;
36112-200;;2;
36113-200;;2;
36114-200;;2;
36115-200;Kalacak;;
36116-200;;2;
36118-200;;2;
36119-200;;2;
36120-200;Kalacak;;
36122-200;Kalacak;;
36126-200;;2;
36127-200;;2;
36128-200;;2;
36129-200;;2;
36130-200;;2;
36131-200;Kalacak;;
36132-200;;2;
36133-200;;2;
36134-200;Kalacak;;
36135-200;;2;
36136-200;Kalacak;;
36137-200;;2;
36138-200;Kalacak;;
36139-100;Kalacak;;
36140-100;Kalacak;;
36141-100;Kalacak;;
36142-100;Kalacak;;
36143-100;Kalacak;;
36144-100;Kalacak;;
36145-100;Kalacak;;
36146-100;Kalacak;;
36147-100;Kalacak;;
36148-100;Kalacak;;
36149-100;Kalacak;;
36150-100;Kalacak;;
36151-100;Kalacak;;
36152-100;Kalacak;;
36153-100;Kalacak;;
36154-100;Kalacak;;
36155-100;Kalacak;;
36156-100;Kalacak;;
36157-100;Kalacak;;
36158-100;Kalacak;;
36159-100;Kalacak;;
36160-100;Kalacak;;
36161-100;Kalacak;;
36162-100;Kalacak;;
36163-100;;2;
36164-100;Kalacak;;
36165-100;Kalacak;;
36166-100;Kalacak;;
36167-100;Kalacak;;
36168-100;Kalacak;;
36169-100;Kalacak;;
36170-100;;2;
36171-100;Kalacak;;
36175-100;Kalacak;;
36185-100;Kalacak;;
36186-100;Kalacak;;
36187-200;Kalacak;;
36188-200;Kalacak;;
36189-100;;;
36190-100;;2;
36191-100;Kalacak;;
36192-100;Kalacak;;
36193-100;;2;
36194-100;;2;
36195-100;Kalacak;;
36196-100;Kalacak;;
36197-100;Kalacak;;
36198-100;;2;
36199-100;Kalacak;;
36200-100;Kalacak;;
36201-100;Kalacak;;
36202-100;;;
36203-100;Kalacak;;
36204-100;;2;
36205-100;;;
36206-100;;2;
36207-100;;;
36208-100;;2;
36209-100;;2;
36210-100;;2;
36211-100;;;
36212-100;Kalacak;;
36213-100;Kalacak;;
36214-100;Kalacak;;
36215-100;;;
36216-100;Kalacak;;
36217-100;;;
36218-100;;;
36219-100;;;
36220-100;Kalacak;;
36221-100;Kalacak;;
00674-100;Kalacak;;
00675-100;Kalacak;;
00696-200;Kalacak;;
00698-200;Kalacak;;
00711-200;Kalacak;;
00718-100;Kalacak;;
00724-100;Kalacak;;
00740-100;;2;
00746-200;Kalacak;;
00748-200;Kalacak;;
00749-200;Kalacak;;
00770-200;Kalacak;;
00776-100;Kalacak;;
80000-100;;;
80001-100;;;
80002-100;;;
80003-100;;;
80004-100;;;
80005-100;;2;
80006-100;;;
80007-100;;;
80008-100;;;
80009-100;;2;
80010-100;;2;
80011-100;;;
80014-200;Kalacak;;
80050-100;;;
00654-100;Kalacak;;
00655-100;Kalacak;;
00658-200;;;5
36050-200;Kalacak;;
36051-200;Kalacak;;
36053-100;Kalacak;;
36091-100;Kalacak;;
36093-100;Kalacak;;
36102-100;;2;
36103-100;;2;
36172-100;Kalacak;;
36173-100;Kalacak;;
36174-100;Kalacak;;
36176-100;Kalacak;;
36177-100;Kalacak;;
36178-100;Kalacak;;
36179-100;Kalacak;;
36180-100;Kalacak;;
36181-100;Kalacak;;
36182-100;Kalacak;;
36183-100;Kalacak;;
36184-100;Kalacak;;
36222-100;;;
36223-100;Kalacak;;
36224-100;Kalacak;;
55000-100;Kalacak;;
55001-100;Kalacak;;
55002-100;Kalacak;;
55003-100;Kalacak;;
33060-100;;;5
33061-100;;;5
33062-100;;;
33063-100;;;5
33064-100;;2;
33065-100;;2;
34000-200;;;5
34001-200;;;5
34051-200;;;
34052-200;;;
34053-200;;;
34054-200;;;5
34055-200;Kalacak;;
34056-100;;;
34061-200;;;5
34062-100;;;
34071-100;;2;
34072-100;;;5
34073-100;;;5
34074-100;;;5
34075-100;;2;
34076-100;;;5
34077-100;Kalacak;;
34078-100;Kalacak;;
34079-100;;;5
34080-100;Kalacak;;
34081-200;;2;
34082-100;Kalacak;;
34083-100;;2;
34084-100;;;
34085-100;Kalacak;;
34086-100;Kalacak;;
34087-100;Kalacak;;
34088-100;;;
34089-100;;;
34090-100;;;
34091-100;;;
34092-100;;;
34093-100;;;5
34094-100;Kalacak;;
34095-100;;;
34096-100;;;
34097-100;;;
34098-100;;;
34099-100;;;
34100-100;;;5
34101-200;;2;
34102-200;;;5
34103-200;;;5
34104-100;;;
34105-100;;;
34106-100;;;
34107-100;;;
34108-100;Kalacak;;
34109-100;;2;
34111-200;;;
34112-200;Kalacak;;
34114-200;;;5
34115-100;Kalacak;;
34116-100;Kalacak;;
34117-100;;2;
34118-100;Kalacak;;
34119-100;;;5
34120-100;;2;
34121-100;;2;
34122-100;;2;
34124-100;;;5
34125-100;;;5
34127-100;;2;
34128-100;;;
34129-100;;;
34130-100;;;
34142-200;;;5
34143-200;;;
34144-100;Kalacak;;
34145-100;;;
34146-100;Kalacak;;
34152-100;;2;
34161-200;;;5
